,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*,IT2,U*,1*,2*,X*
5,Nomme Kalju U19,Tallinna JK Legion U19,1.2,7.13,10.4,1.03,1.08,4.25,1.77,3.5,2.05,1.62,-1.5+,2.3,1.93,2.5,1.84,1.93,1,1.84
6,Samtredia,Saburtalo Tbilisi,8.31,1.31,5.3,1.14,3.26,1.06,3.264,2.5,1.34,2.52,0,1.52,4.08,1.5,1.22,4.08,1.5,1.22
7,BFC Daugavpils,Riga,8.66,4.59,1.36,3.01,1.18,1.055,1.87,2.5,1.93,1.69,+1.5-,2.17,2.04,0.5,1.75,2.04,2,1.75
8,METTA Latvijas Universitāte,Tukums 2000,1.67,4.01,4.51,1.184,1.225,2.135,1.7,2.5,2.15,2.22,-1+,1.66,2.22,1.5,1.63,2.22,1,1.63
9,Sweden 3х3,Turkey (3х3),-,-,-,-,-,-,2.125,8.5,1.715,1.704,-4+,2.14,3.86,6.5,1.26,3.86,2.5,1.26
10,Portugal (4х4),Belgium (4х4),2.3,6.5,2.03,1.7,1.08,1.544,1.895,8,1.904,2.03,0,1.784,1.875,4,1.925,1.875,4,1.925
11,Wolfsburg (Amateur),RB Leipzig (Amateur),17,10,-,10,-,-,1.65,5,2.235,1.9,+3-,1.9,1.82,1,1.99,1.82,4,1.99
12,ARCH,BIZ,13.8,3.82,1.34,2.99,1.22,-,1.76,3.5,2.064,1.448,+1-,2.768,3.32,1.5,1.33,3.32,2.5,1.33
13,Brazil (SSL) Women,Russia (SSL) Women,1.664,8.71,2.73,1.4,1.035,2.08,1.925,18.5,1.875,1.9,-1+,1.9,1.82,9.5,1.984,1.82,8.5,1.984
14,Sweden (SSL),Italy (SSL),3.64,10,1.415,2.675,1.02,1.24,1.904,17,1.896,1.9,+2-,1.9,1.95,7.5,1.85,1.95,9.5,1.85
15,Argentina (TSL) Women,Portugal (TSL) Women,1.06,8.94,15.5,1.016,1.016,6.6,1.992,15.5,1.816,2.125,-3+,1.72,1.75,9,2.075,1.75,6,2.075
0,Wolverhampton Wanderers,Sevilla,3.94,3.14,2.13,1.77,1.4,1.28,2.016,2,1.83,2.56,0,1.536,1.65,0.5,2.25,1.65,1,2.25
1,Shakhtar Donetsk,Basel,1.87,3.84,4.02,1.275,1.295,1.992,2.2,3,1.704,1.504,0,2.65,1.65,1.5,2.25,1.65,1,2.25
2,Rubin,Lokomotiv Moscow,-,-,-,-,-,-,4.76,2.5,1.2,3.015,+2-,1.41,5.47,-,1.15,5.47,2.5,1.15
3,Dundee United,Hibernian,451,11,1.05,10.9,1.064,-,6,1.5,1.14,2.125,+1-,1.75,7.01,-,1.1,7.01,1.5,1.1
4,Dundalk,Waterford,1.53,3.82,7.03,1.096,1.26,2.48,2.096,2.5,1.77,-,-,-,1.84,-,1.93,1.84,0.5,1.93
5,Cork City,Longford Town,2.22,3.29,3.29,1.33,1.33,1.65,1.92,2,1.92,1.6,0,2.39,1.55,1,2.39,1.55,0.5,2.39
