,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
10,Vikingur Gota,HB Torshavn,50.00,7.10,1.08,6.50,1.06,,+1.5,1.25,-1.5,3.45,3.5,2.30,1.55,+6
11,Zamalek SC,Al Masry,1.15,6.30,24.00,,1.10,5.10,-1.5,3.40,+1.5,1.30,1.5,1.98,1.78,+67
12,Zheltie Tulpany,Krasnie Maki,1.25,4.50,18.00,1.01,1.16,3.55,-1.5,3.00,+1.5,1.34,5.5,1.44,2.60,+12
13,McDonalds Nitra,Trogary,,,,,,,+5.5,1.62,-5.5,2.15,8.5,1.60,2.20,
14,Tottenham (BlackStar98),Man.United (FEARGGWP),16.00,3.60,1.35,2.95,1.25,,+1.5,1.30,-1.5,3.25,1.5,1.43,2.60,+17
15,Man. City (Chellovekk),Arsenal L (Flewless_ph.),1.40,3.60,11.50,1.01,1.25,2.75,-1.5,3.40,+1.5,1.27,2.5,2.70,1.40,+46
16,SSC NAPOLI (VITO),JUVENTUS (STIG),,,,,,,,,,,,,,
17,Min Wild,Vancouver Canucks,2.20,4.05,2.75,1.42,1.22,1.63,-1.5,3.30,+1.5,1.30,4.5,2.15,1.65,+168
18,Huttwil,Langental,2.15,3.10,3.40,1.27,1.32,1.62,-1.5,3.60,+1.5,1.25,5.5,2.35,1.53,+86
19,Chetyre Ledokola,Six Trolls,1.16,7.30,15.00,,1.08,4.90,-2.5,2.15,+2.5,1.65,6.5,2.08,1.70,+54
20,Los Angeles Kings (JET),San Jose (JoKeR),,,1.08,6.30,,,+2.5,2.40,-2.5,1.50,5.5,1.65,2.10,+29
21,Columbus (RedDevil),Detroit Red Wings(mrPanda),6.90,5.60,1.32,3.10,1.11,1.07,+1.5,2.03,-1.5,1.70,5.5,2.25,1.57,+97
22,Sacramento,NO Pelicans,1.03,,13.50,,,,-12.5,1.90,+12.5,1.90,271.5,1.85,1.95,+12
23,Milan (88fireburn),Zalgiris (Ash),6.80,,1.07,,,,+13.5,1.90,-13.5,1.80,104.5,1.85,1.85,+6
24,MSG,Profsoyuz Zhizneobespech.,1.12,,5.30,,,,-7.5,1.83,+7.5,1.87,150.5,1.83,1.87,+8
25,Erous,Vivacom,1.95,,1.75,,,,,,,,,,,
26,La Concordia,Las Ferias,1.63,,2.13,,,,-1.5,1.85,+1.5,1.85,176.5,1.85,1.85,+4
